A1	Jean-Paul Calbimonte
A1083	Salvatore Orlando
A1084	Diego Ceccarelli
A1085	Raffaele Perego
A1086	Salvatore Trani
A1087	Claudio Lucchese
A1088	Alessio Carenini
A1089	Thorsten Krüger
A1090	Marta Corubolo
A1091	Simone Contessa
A1092	Stefano Fumeo
A1093	Andrea Turati
A1094	Òscar Celma
A1095	Davide Ceolin
A1096	Julia Noordegraaf
A1097	Till Döhmen
A1098	Joost Visser
A1099	Archana Nottamkandath
A1100	Wan Fokkink
A1101	Luc Moreau
A1102	Alistair Sackley
A1103	Valentina Maccatrozzo
A1104	Julija Ovcinnikova
A1105	Martins Zviedris
A1106	Ernesto Damiani
A1107	Cristiano Fugazza
A1108	Paolo Ceravolo
A1109	Marcello Leida
A1110	Otakar Cerba
A1111	Raitis Berzins
A1112	Tomas Mildorf
A1113	Martin Grund
A1114	Christophe Guéret
A1115	Christian Dinu
A1116	Marat Charlaganov
A1117	Teodor Macicas
A1118	Harald Kosch
A1119	Sebastian Käbisch
A1120	Victor Charpenay
A1121	Bruno Charron
A1122	Yu Hirate
A1123	David Purcell
A1124	Richard Guilii
A1125	Vinay K. Chaudhri
A1126	Karen Myers
A1127	William Jarrold
A1128	Adam Cheyer
A1129	John Niekarsz
A1130	Birte Glimm
A1131	Boris Motik
A1132	Pierre Chaussecourte
A1133	Laurent Pierre
A1134	Hideaki Takeda 
A1135	Rathachai Chawuthai
A1136	Chandan Patel
A1137	Roger Granada
A1138	Alessandro Solimando
A1139	Pierre Genevès
A1140	Melisachew Wudage Chekol
A1141	Nabil Layaïda
A1142	Amedeo Napoli
A1143	Mark Steyvers
A1144	Chaitanya Chemudugunta
A1145	Padhraic Smyth
A1146	America Holloway
A1147	Songyang Zhang
A1148	Huajun Chen
A1149	Xi Chen
A1150	Ningyu Zhang
A1151	Xueying Chen
A1152	Paul R. Smart
A1153	Liming Chen
A1154	Colin Puleston
A1155	Feng Tao
A1156	Simon J. Cox
A1157	Charles Hariman
A1158	Niket Tandon
A1159	Jiaqiang Chen
A1160	Gerard de Melo
A1161	Aining Yin
A1162	Jinmin Tang
A1163	Yuxin Mao
A1164	Yimin Wang
A1165	Zhaohui Wu
A1166	Chunying Zhou
A1167	Heng Wang
A1168	Valerie V. Cross
A1169	Weiguo Xia
A1170	Saisai Gong
A1171	Gong Cheng
A1172	Yuzhong Qu
A1173	Tomas E. Ward
A1174	Long Cheng
A1175	Georgios Theodoropoulos
A1176	Daxin Liu
A1177	Yanan Zhang
A1178	Alexey Cheptsov
A1179	Matthias Assel
A1180	Yolanda Gil
A1181	William Kwok-Wai Cheung
A1182	Jane Hunter
A1183	Kwok Cheung
A1184	Richard Giuli
A1185	Jack Park
A1186	Ioan Alfred Letia
A1187	Emil St. Chifu
A1188	Oana Scurtu
A1189	Mario T. Schlosser
A1190	Mahsa Chitsaz
A1191	Anis Jedidi
A1192	Faïez Gargouri
A1193	Mounira Chkiwa
A1194	Abdelali Boussadi
A1195	Patrick Albert
A1196	Patrice Degoulet
A1197	Amina Chniti
A1198	Jean Charlet
A1199	Marco Schorlemmer
A1200	Paula Chocron
A1201	Jooik Jung
A1202	Kyong-Ho Lee
A1203	Pilsik Choi
A1204	Alexandre Passant
A1205	Smitashree Choudhury
A1206	John G. Breslin
A1207	Anika Groß
A1208	Erhard Rahm
A1209	Victor Christen
A1210	Viktoria Pammer-Schindler
A1211	Joanna Guss
A1212	Peter Scheir
A1213	Stefanie N. Lindstaedt
A1214	Conny Christl
A1215	Ioanna Koffina
A1216	Giorgos Kokkinidis
A1217	Aimilia Magkanaraki
A1218	Giorgos Serfiotis
A1219	Val Tannen
A1220	Alloy Martin Chua
A1221	Nathalie Rose Lim
A1222	Danny Cheng
A1223	Roland Christian Chua
A1224	Arthur_Vincent Dychiching
A1225	Jose Lloyd Espiritu
A1226	Tinmon Ang
A1227	Jung-Jae Kim
A1228	Watson Wei Khong Chua
A1229	Seungjun Yoon
A1230	Sejin Chun
A1231	Xiongnan Jin
A1232	Lin Clark
A1233	Bryan B. Thompson
A1234	Kendall Clark
A1235	Bradley R. Bebee
A1236	Chien-Hung Chien
A1237	Frederic Clarke
A1238	Jennifer Black
A1239	Nicholas Gibbins
A1240	Marcus Cobden
A1241	Les Carr
A1242	Marcos Niño
A1243	Silvestre Losada
A1244	Eric Prud'hommeaux
A1245	Stefan Decker
A1246	Michael Cochez
A1247	Oliver Kutz
A1248	Till Mossakowski
A1249	Mihai Codescu
A1250	Marcelo Cohen
A1251	Nigel Collier
A1252	Paul Mulholland
A1253	Trevor D. Collins
A1254	Zdenek Zdráhal
A1255	Sander Ballieu
A1256	Rik Van de Walle
A1257	Sara Comai
A1258	Piero Fraternali
A1259	Holger Neuhaus
A1260	Cory A. Henson
A1261	Khoi-Nguyen Tran
A1262	Wolfram Conen
A1263	Reinhold Klapsing
A1264	Eckhart Köppen
A1265	Colm Conroy
A1266	David Lewis
A1267	Domenico Fabio Savo
A1268	Marco Console
A1269	Valerio Santarelli
A1270	Domenico Lembo
A1271	Riccardo Rosati
A1272	José Mora
A1273	Walter Binder
A1274	Boi Faltings
A1275	Ion Constantinescu
A1276	Marta Poblet
A1277	Sam Coppens
A1278	Olivier Corby
A1279	Angel López-Cima
A1280	Mariano Fernández-López
A1281	Manuel Lama
A1282	Mari Carmen Suárez-Figueroa
A1283	V. López-García
A1284	Iván Pérez
A1285	Luis Manuel Vilches Blázquez
A1286	Francesco Corcoglioniti
A1287	Michele Mostarda
A1288	Marco Amadori
A1289	Renaud Delbru
A1290	Stephane Corlosquet
A1291	Tim Clark
A1292	Ian Millard
A1293	Manuel Salvadores
A1294	Derek Corrigan
A1295	Jean Karl Soler
A1296	Brendan Delaney
A1297	Konstantinos Papangelis
A1298	Milan Markovic
A1299	John D. Nelson
A1300	Nagendra Velaga
A1301	Paul Gault
A1302	Somayajulu Sripada
A1303	Caitlin Doyle Cottrill
A1304	Mujtaba Mehdi
A1305	Harry Chen
A1306	Anupam Joshi
A1307	Filip Perich
A1308	Charles K. Nicholas
A1309	Yun Peng
A1310	Tim Finin
A1311	Youyong Zou
A1312	R. Scott Cost
A1313	Sovrin Tolia
A1314	Lalana Kagal
A1315	João Leite
A1316	Nuno Costa
A1317	Kenneth J. Laskey
A1318	José Maria Parente de Oliveira
A1319	Gustavo de Assis Costa
A1320	Luca Costabello
A1321	Neil Wilson
A1322	Corine Deliot
A1323	Gofran Shukair
A1324	Iacopo Vagliano
A1325	Daniel W. Gillman
A1326	Franck Cotton
A1327	Francisco M. Couto
A1328	Simon Cox
A1329	Felipe I. Takiyama
A1330	Fábio Gagliardi Cozman
A1331	Rodrigo Bellizia Polastro
A1332	Giampiero Vaschetto
A1333	Sofia Cramerotti
A1334	Marco Buccio
A1335	Stephen Cranefield
A1336	Stefano Cresci
A1337	Angelica Lo Duca
A1338	Andrea Marchetti
A1339	Maurizio Tesconi
A1340	Davide Gazzè
A1341	Andrea D'Errico
A1342	Pat Croke
A1343	Kim Tighe
A1344	Ann Johnston
A1345	Chen Gu
A1346	Peter Simon
A1347	Xueheng Hu
A1348	Anindita Pal
A1349	Pramit Silwal
A1350	David N. Crowley
A1351	Cosmin Stroe
A1352	Flavio Palandri Antonelli
A1353	Angela Maduko
A1354	Ulas C. Keles
A1355	Paul W. Calnan
A1356	Michele Caci
A1357	Federico Caimi
A1358	Matteo Palmonari
A1359	Alessio Fabiani
A1360	Sever Fundatureanu
A1361	Marcin Wylot
A1362	Felix Leif Keppmann
A1363	Iliya Enchev
A1364	Albert Haque
A1365	Daniel P. Miranker
A1366	Juan Sequeda
A1367	Christelle Vangenot
A1368	Nadine Cullot
A1369	Stefano Spaccapietra
A1370	Christine Parent
A1371	Olivier Curé
A1372	Guillaume Blin
A1373	Mohamed Amine Baazizi
A1374	Hubert Naacke
A1375	Carlo Curino
A1376	Giorgio Orsi
A1377	Letizia Tanca
A1378	Michael Czajkowski
A1379	Martin O. Hofmann
A1380	Anna L. Buczak
A1381	Enrico Daga
A1382	Luca Panziera
A1383	Syrine Damak
A1384	Sami Zghal
A1385	Filipe Ferreira
A1386	Céline Van Damme
A1387	Mariana Damova
A1388	Kiril Ivanov Simov
A1389	Svetoslav Petrov
A1390	Atanas Kiryakov
A1391	Angus Graeme Forbes
A1392	Nico Franz
A1393	Tuan Dang
A1394	Sven Hertling
A1395	Jan Ruben Zilke
A1396	Marcel Wlotzka
A1397	Thanh-Tung Dang
A1398	Alexander Gabriel
A1399	Frederik Janssen
A1400	Philipp Roskosch
A1401	Laura Daniele
A1402	Jasper Roes
A1403	Monika Solanki
A1404	Frank T. H. den Hartog
A1405	Ramona Enache
A1406	Fariz Darari
A1407	Simon Razniewski
A1408	Radityo Eko Prasojo
A1409	Prajit Kumar Das
A1410	Gurpreet Singh
A1411	Abhay L. Kashyap
A1412	Cynthia Matuszek
A1413	Wei Wu
A1414	Aseem Das
A1415	Zolzaya Dashdorj
A1416	Leo Wanner
A1417	Stamatia Dasiopoulou
A1418	Joan Codina
A1419	Krys J. Kochut
A1420	Natarajan Kannan
A1421	Shima Dastgheib
A1422	Daniel Ian McSkimming
A1423	Jérôme David
A1424	Yi Chen 
A1425	Peng Sun
A1426	Susan B. Davidson
A1427	Sarah Cohen Boulakia
A1428	Peter Davis
A1429	Salman Haq
A1430	Brian Davis
A1431	Adam Funk
A1432	Ahmad Ali Iqbal
A1433	Valentin Tablan
A1434	Srinivas Vadrevu
A1435	Saravanakumar Nagarajan
A1436	Hasan Davulcu
A1437	Christoph Lange 
A1438	Jeremy Debattista
A1439	Simon Scerri
A1440	Ismael Rivera
A1441	Christophe Debruyne
A1442	Lorraine McNerney
A1443	Eamonn Clinton
A1444	Atul Nautiyal
A1445	Thierry Declerck
A1446	Dagmar Gromann
A1447	Jan Dedek
A1448	Leo Galambos
A1449	Alan Eckhardt
A1450	Peter Vojtás
A1451	Auriol Degbelo
A1452	Yevgeny Kazakov
A1453	Vincent Delaitre
A1454	Nuno Lopes 
A1455	Klaas Dellschaft
A1456	Catherine Dolbear
A1457	Ronald Denaux
A1458	Glen Hart
A1459	Anthony G. Cohn
A1460	Julie M. Sullivan
A1461	Gail Binkley
A1462	Jacques Corbeil
A1463	Gos Micklem
A1464	J. Michael Cherry
A1465	Maxime Déraspe
A1466	Kalpana Karra
A1467	Pratikkumar Desai
A1468	Emmanuel Desmontils
A1469	Christine Jacquin
A1470	Martin Wolpers
A1471	Hadhami Dhraief
A1472	Boris Wolf
A1473	Jon Iturrioz
A1474	Oscar Díaz
A1475	Sergio Fernández Anzuola
A1476	Virginia Dignum
A1477	Aris van Dijk
A1478	Huib Aldewereld
A1479	Jacco van Ossenbruggen
A1480	Chris Dijkshoorn
A1481	Mirko Michele Dimartino
A1482	Dimitre A. Dimitrov
A1483	Abir Qasem
A1484	Nanbor Wang
A1485	Ian Holt
A1486	Anastasia Dimou
A1487	Pieter Heyvaert
A1488	Laurens De Graeve
A1489	Wouter Maroy
A1490	Markus Freudenberg
A1491	Miel Vander Sande
A1492	Ying Ding
A1493	Pranam Kolari
A1494	Rong Pan
A1495	Joshua Shinavier
A1496	Zhenning Shangguan
A1497	Renata Queiroz Dividino
A1498	Gerd Gröner
A1499	Thomas Gottron
A1500	Ansgar Scherp
A1501	Thomas Grotton
A1502	Tarek Khadir
A1503	Warith Eddine Djeddi
A1504	Rim Djedidi
A1505	Marie-Aude Aufaure
A1506	Julia Dmitrieva
A1507	Fons J. Verbeek
A1508	Elmar Kiesling
A1509	Tuan-Dat Trinh
A1510	Ba-Lam Do
A1511	A Min Tjoa
A1512	Peb Ruswono Aryan
A1513	Peter Wetz
A1514	Milan Dojchinovski
A1515	Tomás Kliegr
A1516	Maciej Zaremba
A1517	Jaroslav Kuchar
A1518	Tomas Vitvar
A1519	Jirí Dokulil
A1520	Li Ma
A1521	Julian Dolby
A1522	Aaron Kershenbaum
A1523	James Fan
A1524	J. William Murdock
A1525	Edith Schonberg
A1526	Xingzhi Sun
A1527	Mariano Rodriguez-Muro
A1528	Wen Sun
A1529	Pedro M. Domingos
A1530	Daniel Lowd
A1531	Parag Singla
A1532	Stanley Kok
A1533	Matthew Richardson
A1534	Hoifung Poon
A1535	Valentina A. M. Tamma
A1536	Paul Doran
A1537	Ignazio Palmisano
A1538	Dov Dori
A1539	Nicolas Lumineau
A1540	Anne Doucet
A1541	Laura Dragan
A1542	Tudor Groza
A1543	Andreas Oskar Kempf
A1544	Marco Pistore
A1545	Roberto Tiella
A1546	Piergiorgio Bertoli
A1547	Michele Nori
A1548	Giulio Petrucci
A1549	Alessio Bosca
A1550	Andi Rexha
A1551	Matteo Casu
A1552	Célia da Costa Pereira
A1553	Andrea Tettamanzi
A1554	Kevin Dreßler
A1555	Michael Schwan
A1556	Andrea Schröder
A1557	Thomas Dreyer
A1558	Michael Jackson
A1559	Natasha Alechina
A1560	Heshan Du
A1561	Ross Stirling
A1562	Barry Clarke
A1563	Helen Reeves
A1564	Giulio Curioni
A1565	Derek R. Magee
A1566	Jianfeng Du
A1567	Qiu Ji
A1568	Guilin Qi
A1569	Yi-Dong Shen
A1570	Michael J. Ward
A1571	Anastasios Kementsietsidis
A1572	Oktie Hassanzadeh
A1573	Songyun Duan
A1574	Chan Le Duc
A1575	Myriam Lamolle
A1576	Tomás Hanzal
A1577	Marek Dudás
A1578	Anca Dumitrache
A1579	Robert-Jan Sips
A1580	Anthony Levas
A1581	Arnaud Droit
A1582	Jose Cruz-Toledo
A1583	Vincent Emonet
A1584	Peter Ansell
A1585	Alison Callahan
A1586	François Belleau
A1587	Simone Paolo Ponzetto
A1588	Mathias Niepert
A1589	Arnab Dutta 
A1590	Martin Dzbor
A1591	Hannes Ebner
A1592	Matthias Palmér
A1593	Robert Novotny
A1594	Dusan Maruscák
A1595	Tomás Horváth
A1596	Thomas Bouttaz
A1597	Chris Mellish
A1598	Kapila Ponnamperuma
A1599	Vasilis Efthymiou
A1600	Mohammad Sadoghi
A1601	Shusaku Egami
A1602	Takahiro Kawamura
A1603	Akihiko Ohsuga
A1604	Marc Ehrig
A1605	Julian R. Eichhoff
A1606	Wolfgang Maass
A1607	Bertin Klein
A1608	Katja Einsfeld
A1609	Stefan Agne
A1610	Achim Ebert
A1611	Christian Eisenreich
A1612	Jana Ott
A1613	Tonio Süßdorf
A1614	Christian Willms
A1615	Thomas Eiter
A1616	Josiane Xavier Parreira
A1617	Khadija Elbedweihy
A1618	Stuart N. Wrigley
A1619	Suvodeep Mazumdar
A1620	Menna Bakry
A1621	Heiko Maus
A1622	Andreas Dengel
A1623	Bahaa Eldesouky
A1624	Mark Johnson
A1625	Daniel Elenius
A1626	Reginald Ford
A1627	Denny Vrandecic
A1628	Basil Ell
A1629	Mohamed Ben Ellefi
A1630	Zohra Bellahsene
A1631	Jason B. Ellis
A1632	Mikel Emaldi
A1633	Jon Lázaro
A1634	Unai Aguilera
A1635	Oscar Peña
A1636	Kemele M. Endris
A1637	Sidra Faisal
A1638	David Norheim
A1639	Robert Engels
A1640	Faezeh Ensan
A1641	Weichang Du
A1642	Guillaume Erétéo
A1643	Rui Yan
A1644	Katherine Chastain
A1645	James P. McCusker
A1646	Zachary Fry
A1647	John S. Erickson
A1648	Evan W. Patton
A1649	Ivan Ermilov
A1650	Vladimir Vladimirov
A1651	Natalya Keberle
A1652	Wolf-Ekkehard Matzke
A1653	Vadim Ermolayev
A1654	Piek Vossen
A1655	Rachele Sprugnoli
A1656	Jesper Hoeksema
A1657	Antske Fokkens
A1658	Marieke van Erp
A1659	Sara Tonelli
A1660	Filip Ilievski
A1661	Landen Bain
A1662	Gokce Laleci
A1663	Ali Anil Sinaci
A1664	Michael Günther 
A1665	Fredo Erxleben
A1666	Julian Mendez
A1667	Mauricio Espinoza
A1668	Eduardo Mena
A1669	Raquel Trillo Lado
A1670	Jorge Gracia
A1671	Luigi Iannone
A1672	Giovanni Semeraro
A1673	Boutheina Ben Yaghlane
A1674	Amira Essaid
A1675	Julio C. Duarte
A1676	Diego Moussallem
A1677	Maria Cláudia Reis Cavalcanti
A1678	Diego Esteves
A1679	Ciro Baron
A1680	Lorena Etcheverry
A1681	Alejandro A. Vaisman
A1682	Vassilis Spiliopoulos
A1683	George A. Vouros
A1684	Cliff Joslyn
A1685	Marta Sabou
A1686	Shenghui Wang
A1687	Malgorzata Mochól
A1688	Claudia Exeler
A1689	Pavlos Fafalios
A1690	Yannis Tzitzikas
A1691	Muhammad Fahad
A1692	Ricardo de Almeida Falbo
A1693	Margaret-Anne D. Storey
A1694	Natalya Fridman Noy
A1695	Sean M. Falconer
A1696	Tania Tudorache
A1697	Csongor Nyulas
A1698	Mark A. Musen
A1699	Xianyong Fang
A1700	Frédéric Vernier
A1701	Christian Jacquemin
A1702	Lu Fang
A1703	Qingliang Miao
A1704	Yao Meng
A1705	Tong Ruan
A1706	Julia Bosque-Gil
A1707	Haofen Wang
A1708	Zhijia Fang
A1709	Xiaowang Zhang
A1710	Hong Fang
A1711	Stefano Faralli
A1712	Alexander Panchenko
A1713	Chris Biemann
A1714	Emanuel Santos
A1715	Daniela Oliveira
A1716	Catarina Martins
A1717	João Cardoso
A1718	Hugo Curado
A1719	Maguelonne Teisseire
A1720	Eric Kergosien
A1721	Mathieu Roche
A1722	Mohammad Amin Farvardin
A1723	Sebastian Faubel
A1724	Moritz Eberl
A1725	Christian Kuschel
A1726	Marc Novel
A1727	Shen Gao
A1728	Michael Feldman
A1729	Katerina Papaioannou
A1730	Markus Zanker
A1731	Alexander Felfernig
A1732	Dietmar Jannach
A1733	Gerhard Friedrich
A1734	Fayçal Hamdi
A1735	Abdelfettah Feliachi
A1736	Carolina Howard Felicíssimo
A1737	Christoph Bussler
A1738	Alexander Maedche
A1739	Holly Ferguson
A1740	Stuart Brown
A1741	Miriam Fernández
A1742	Arno Scharl
A1743	Nikos Loutas
A1744	Alberto Fernández
A1745	Conor Hayes
A1746	Konstantinos A. Tarabanis
A1747	Vassilios Peristeras
A1748	Javier D. Fernández
A1749	Miguel A. Martínez-Prieto
A1750	Sascha Ossowski
A1751	Jin Song Dong
A1752	Yuan-Fang Li
A1753	Yuzhang Feng
A1754	Simon Ferndriger
A1755	Roberto García
A1756	Josep Maria Brunetti
A1757	Davide Lorusso
A1758	Gaia Varese
A1759	Vassilis Tzouvaras
A1760	Tassos Venetis
A1761	Giorgos Stoilos
A1762	Giorgos B. Stamou
A1763	Sébastien Ferré
A1764	Alice Hermann
A1765	Davide Taibi
A1766	Besnik Fetahu
A1767	Ujwal Gadiraju
A1768	Fattane Zarrinkalam
A1769	Mohsen Kahani
A1770	Azam Feyznia
A1771	Dominik Filipiak
A1772	Agnieszka Lawrynowicz
A1773	Jacek Malyszko
A1774	Agata Filipowska
A1775	Valeria Fionda
A1776	Giovanni Grasso 
A1777	Enrico Malizia
A1778	Lorenz Fischer
A1779	Thomas Scharrenbach
A1780	Tiziano Flati
A1781	Daniel Fleischhacker
A1782	George H. L. Fletcher
A1783	Peter W. Beck
A1784	Denis Parra
A1785	Fernando Florenzano
A1786	Freddie Venegas
A1787	Yannis Theoharis
A1788	Panagiotis Pediaditis
A1789	Mudhakar Srivatsa
A1790	Robert Young
A1791	David Trastour
A1792	Corentin Follenfant
A1793	Hala Skaf-Molli
A1794	Gabriela Montoya
A1795	Pascal Molli
A1796	Pauline Folz
A1797	Xavier Serra
A1798	Frederic Font
A1799	Sergio Oramas
A1800	Andreas Giloj
A1801	Erich Weichselgartner
A1802	Björn Forcher
A1803	Sean Mehan
A1804	Laura Farinetti
A1805	Fabio Forno
A1806	Marco Fossati
A1807	Giovanni Tummarello
A1808	Jane E. Fountain
A1809	Luca Cinquini
A1810	Jose Garcia
A1811	J. Anthony Darnell
A1812	Patrick West
A1813	Peter Fox
A1814	Don Middleton
A1815	James L. Benedict
A1816	Stan Solomon
A1817	Paulo Pinheiro
A1818	Paolo Tonella
A1819	Germán Toro del Valle
A1820	Lyndon J. B. Nixon
A1821	David de Francisco Marcos
A1822	Alessandro Mosca
A1823	Enrico Franconi
A1824	Thomas Franz
A1825	David-Paul Mann
A1826	Sergej Sizov
A1827	Antje Schultz
A1828	Satya Sanket Sahoo
A1829	Juliana Freire
A1830	Konstantin Schekotihin
A1831	Jörg Unbehauen
A1832	Carl-Martin Marquardt
A1833	Philipp Frischmuth
A1834	Kai Holzweißig
A1835	Kemafor Anyanwu
A1836	Haizhou Fu
A1837	Harish Kumar Dasari
A1838	Zhisong Fu
A1839	Martin Berzins
A1840	Bo Fu
A1841	Yang Wang 
A1842	Huajie Zhang
A1843	Linyun Fu
A1844	Haiping Zhu
A1845	Yong Yu
A1846	Takahisa Fujino
A1847	Shoji Kurakake
A1848	Kunihiro Fujii
A1849	Yusuke Fukazawa
A1850	Takefumi Naganuma
A1851	Yoshio Fukushige
A1852	Maarten Marx
A1853	Christian Leibold
A1854	Yaoyong Li
A1855	Horacio Saggion
A1856	Mohamed H. Gad-Elrab
A1857	Jacopo Urbani
A1858	Gerhard Weikum
A1859	Daria Stepanova 
A1860	Ricardo Kawase
A1861	Kaweh Djafari Naini
A1862	Dang Duc Pham
A1863	Andrea Ceroni
A1864	Mihai Georgescu
A1865	Marco Fisichella
A1866	Caroline Barrière
A1867	Michel Gagnon
A1868	Eric Charton
A1869	David Lamb
A1870	Raj Gaire
A1871	Gregory Falzon
A1872	Bart Gajderowicz
A1873	Alireza Sadeghian
A1874	Mikhail Soutchanski
A1875	Alexandre Monnin
A1876	Raphaël Boyer
A1877	Alain Giboin
A1878	Nicolas Gronnier
A1879	Cecile Guigard
A1880	Norman M. Sadeh
A1881	Mehwish Alam
A1882	Francesco Draicchio
A1883	Diego Reforgiato Recupero
A1884	Andrea Giovanni Nuzzolese
A1885	Alberto Musetti
A1886	David Shotton
A1887	Fabio Vitali
A1888	Maria-Teresa Sagri
A1889	Daniela Tiscornia
A1890	Shi Gao
A1891	Carlo Zaniolo
A1892	Muhao Chen
A1893	Jiaqi Gu
A1894	Soheila Dehghanzadeh
A1895	Yuqing Zhai
A1896	Jianming Deng
A1897	Zhiqiang Gao
A1898	Jörg-Uwe Kietz
A1899	George Garbis
A1900	Raúl García-Castro
A1901	Leyla Jael García-Castro
A1902	Alexander García Castro
A1903	Olga L. Giraldo
A1904	Michael Schneider
A1905	Adrian Marte
A1906	José M. Blázquez del Toro
A1907	Ansgar Bernardi
A1908	Angelo Marrara
A1909	Zohar Ben-Asher
A1910	Manuel Fuentes
A1911	Luis Sánchez
A1912	Jesús Arias-Fisteus
A1913	Michael Sintek
A1914	Norberto Fernández García
A1915	Eirik Bakke
A1916	Juan Manuel Gimeno
A1917	Rosa Gil
A1918	Andres Betancourt
A1919	Angela Norena
A1920	Roberto Garcia
A1921	Nick Sincaglia
A1922	Pasquale Lisena
A1923	José Luis Redondo García
A1924	Mariella Sabatino
A1925	Leo Sauermann
A1926	Dmitry Tsarkov
A1927	Tom Gardiner
A1928	Pramila Mullan
A1929	Jérémy Huylebroeck
A1930	Amit Goswami
A1931	Shishir Garg
A1932	Senthil Jaganathan
A1933	Jaime Delgado
A1934	Konstantina Garoufi
A1935	Iryna Gurevych
A1936	Torsten Zesch
A1937	Jan Mendling
A1938	Jonas Bulegon Gassen
A1939	Vishwajeet Kumar
A1940	Ganesh Ramakrishnan
A1941	Chetana Gavankar
A1942	Jan H. M. Korst
A1943	Gijs Geleijnse
A1944	Maria Maleshkova
A1945	Michael Götz
A1946	Benedikt Kämpgen
A1947	Christian Weber
A1948	Philipp Gemmeke
A1949	Klaus H. Maier-Hein
A1950	Patrick Philipp
A1951	Marco Nolden
A1952	Suvodeep Mazdumar
A1953	Borislav Popov
A1954	Georgi Georgiev
A1955	Marin Dimitrov
A1956	Petya Osenova
A1957	Tommaso Soru
A1958	Daniel Gerber
A1959	Anatole Gershman
A1960	Joost Geurts
A1961	Giuseppe Berio
A1962	Nicolas Béchet
A1963	Sami Ghadfi
A1964	Mehrnaz Ghashghaei
A1965	Ebrahim Bagheri
A1966	Ali A. Ghorbani
A1967	John Cuzzola
A1968	Clement Jonquet
A1969	Amir Ghazvinian
A1970	Hector J. Levesque
A1971	Xavier Oriol
A1972	Mark Giereth
A1973	José Francisco Aldana Montes
A1974	Enrique Alba
A1975	Jorge Martínez Gil
A1976	Varun Ratnakar
A1977	Thomas C. Harmon
A1978	Shubham Gupta
A1979	Sandra Villamizar
A1980	Maria Muslea
A1981	Pedro A. Szekely
A1982	Fabio Silva
A1983	Luca Gilardoni
A1984	Roberto Fonti
A1985	Christian Biasuzzi
A1986	Piercarlo Slavazza
A1987	Massimo Ferraro
A1988	Syed Gillani
A1989	Camille Pradel
A1990	Ollivier Haemmerlé
A1991	Pascal Gillet
A1992	Alethia Hume
A1993	Hugh Glaser
A1994	Bart De Moor
A1995	Bert Coessens
A1996	Steven Van Vooren
A1997	Patrick Glenisson
A1998	Yves Moreau
A1999	Peter F. Patel-Schneider
A2000	Trung-Kien Tran
A2001	Thorsten Liebig
A2002	Vincent Vialard
A2003	Alfio Massimiliano Gliozzo
A2004	Gianluca Troiani
A2005	Alberto Salvati
A2006	Maroua Gmati
A2007	Chris Goad
A2008	David De Roure
A2009	Wendy Hall
A2010	Yrjänä Rankka
A2011	Stefan Senger
A2012	Ivan Mikhailov
A2013	Eleftherios Tatakis
A2014	Oguz Dikenelli
A2015	Umut Kose
A2016	Pinar Göçebe
A2017	Juan F. Sequeda
A2018	Antoon Goderis
A2019	Christine Golbreich
A2020	Olivier Dameron
A2021	Bernard Gibaud
A2022	Rob Shearer
A2023	Neil M. Goldman
A2024	Evgeni Golov
A2025	Katrin Weller
A2026	Isabella Peters
A2027	Ashish Sabharwal
A2028	Bart Selman
A2029	Carla P. Gomes
A2030	Jörg Hoffmann 
A2031	José Enrique Ruiz
A2032	Esteban García-Cuesta
A2033	Aleix Garrido
A2034	Jaime Ramírez
A2035	Rafael S. Gonçalves
A2036	Nicolas Matentzoglu
A2037	Marta Gonzalez
A2038	Gianni Vercelli
A2039	Stefano Bianchi
A2040	Peter W. Eklund
A2041	Peter Goodall
A2042	Olaf Görlitz
A2043	Matthias Thimm
A2044	Jakub Marecek
A2045	Bernard Gorman
A2046	Jia Yuan Yu
A2047	Aisha Naseer
A2048	Masatomo Goto
A2049	Bo Hu
A2050	Johannes Schmitz
A2051	Stuart Middleton
A2052	Diego Magro
A2053	Claudia Picardi
A2054	Giovanna Petrone
A2055	Marino Segnan
A2056	Anna Goy
A2057	Jordi Bernad
A2058	Vanessa López
A2059	Elena Montiel-Ponsoda
A2060	Clare Grasso
A2061	Eliot Siegel
A2062	Egor V. Kostylev
A2063	Marcelo Arenas
A2064	Sarunas Marciuska
A2065	Evren Sirin
A2066	Damien Graux
A2067	Louis Jachiet
A2068	Alvaro Graves
A2069	Christophe Gravier
A2070	Julien Subercaze
A2071	Jennifer Green
A2072	John Goodwin
A2073	Paula C. Engelbrecht
A2074	Michael Watzke
A2075	Thomas Hubauer
A2076	Falco Cescolini
A2077	Alun D. Preece
A2078	Gunnar Aastrand Grimnes
A2079	Victor S. Grishchenko
A2080	Chide Groenouwe
A2081	Fernando Silva Parreiras
A2082	Jessica Gronski
A2083	Mike Dean
A2084	Daniela Inclezan
A2085	Richard Shapiro
A2086	Brett Benyo
A2087	Benjamin N. Grosof
A2088	Carl Andersen
A2089	William Ferguson
A2090	Michael Hartung
A2091	Toralf Kirsten
A2092	Andy Seaborne
A2093	Dave Grosvenor
A2094	Diana Trif
A2095	Knud Möller
A2096	Andreas Zankl
A2097	Thomas R. Gruber
A2098	Jan Pieper
A2099	Christine Robson
A2100	Daniel Gruhl
A2101	Meena Nagarajan
A2102	Michael Grüninger
A2103	Megan Katsumi
A2104	Rolf Grütter
A2105	Claus Eikemeier
